GP,Ortg,usg,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoP_per,TPM,TP_per,stl_per,ftr,porpag,bpm,gbpm,blk,pts,height_cm,Height_Impact,REB_per,FT_efficiency
35,101.0,16.7,5.2,9.8,8.5,14.4,0.575,0.439,26,0.325,1.5,24.7,0.509304,2.06793,1.25619,0.8056,5.1111,190.5,393.940665,15.0,14.202499999999999
20,106.4,10.9,1.1,15.3,8.5,15.4,0.5,0.563,0,0.0,1.1,50.0,0.145198,-2.24151,-3.20953,0.1364,1.0909,198.12,-444.0879612,16.400000000000002,25.0
6,79.3,13.5,0.0,14.3,0.0,0.0,0.0,0.5,0,0.0,0.0,50.0,-0.0714544,-11.8416,-1.98747,0.1111,1.1111,210.82,-2496.4461119999996,14.3,0.0
31,81.4,14.0,4.8,12.4,11.9,35.3,0.625,0.516,1,0.2,2.6,66.7,-0.405319,-5.47705,-5.53024,0.0323,1.6129,185.42000000000002,-1015.5546110000001,17.2,41.6875
26,82.6,11.5,1.1,4.9,18.6,37.7,0.0,0.727,4,0.235,1.9,3.6,-0.456536,-7.04969,-6.19142,0.0385,1.0769,182.88,-1289.2473072,6.0,0.0
21,81.8,13.8,4.7,8.4,11.7,26.2,0.857,0.286,8,0.308,0.8,17.5,-0.425839,-8.26008,-8.16461,0.0952,1.8095,187.96,-1552.5646368,13.100000000000001,14.9975
28,102.0,22.0,3.2,12.1,14.7,15.8,0.839,0.411,49,0.345,1.0,26.7,1.4601,-1.56597,-0.826546,0.0,9.75,187.96,-294.33972120000004,15.3,22.4013
29,78.4,20.5,8.2,18.4,5.2,20.2,0.54,0.363,2,0.333,1.1,44.7,-0.313054,-1.26176,-3.18627,1.5172,4.7586,208.28,-262.7993728,26.599999999999998,24.138
22,65.7,17.5,4.9,8.2,6.7,24.9,0.857,0.346,1,0.05,1.6,30.4,-0.671586,-8.00299,-10.4984,0.1818,1.5,200.66,-1605.8799734000002,13.1,26.052799999999998
19,78.1,28.2,14.0,16.1,4.8,19.7,0.6,0.267,4,0.222,1.6,30.3,-0.0931133,-10.4168,-13.3165,0.0,1.3684,193.04,-2010.859072,30.1,18.18
5,94.1,11.9,10.7,38.8,0.0,0.0,0.0,0.333,0,0.0,5.0,0.0,-0.0651645,-2.531,-3.74735,0.2,0.4,205.74,-520.7279400000001,49.5,0.0
33,91.5,18.5,8.6,8.3,13.8,23.3,0.6,0.536,8,0.211,3.2,37.9,0.163849,1.92383,0.640704,0.2727,2.0909,187.96,361.6030868,16.9,22.74
26,97.1,22.9,5.6,11.9,13.7,22.4,0.524,0.567,33,0.359,0.9,13.2,0.823575,-2.01891,-2.00128,0.2593,7.1111,203.2,-410.242512,17.5,6.9168
4,52.6,26.0,0.0,15.9,0.0,32.9,0.0,0.333,0,0.0,0.0,0.0,-0.18535,-21.3719,-21.1817,0.0,0.5,185.42000000000002,-3962.7776980000003,15.9,0.0
10,95.8,17.6,5.5,13.3,3.8,5.6,0.25,0.364,3,0.429,1.0,44.4,0.0652232,-4.67065,-2.50386,0.1,1.9,198.12,-925.349178,18.8,11.1
24,93.7,13.9,10.8,20.1,4.0,40.0,0.6,0.704,0,0.0,3.2,18.5,-0.0577016,0.601472,-2.46532,0.3846,1.6538,203.2,122.21911039999999,30.900000000000002,11.1
34,111.2,12.7,9.8,17.7,10.5,14.7,0.521,0.537,22,0.275,1.9,53.7,1.8428,6.17101,4.23017,1.0294,6.3824,203.2,1253.949232,27.5,27.977700000000002
8,205.0,2.0,13.2,23.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.300966,-8.12292,-3.85464,0.0,0.0,193.04,-1568.0484768000001,36.599999999999994,0.0
23,78.4,13.7,10.7,12.4,1.5,25.1,0.353,0.471,0,0.0,0.9,94.4,-0.307647,-8.07059,-8.14377,0.0435,0.9565,203.2,-1639.9438879999998,23.1,33.3232
37,87.5,15.9,9.7,13.9,4.9,26.0,0.579,0.429,0,0.0,2.8,60.3,0.0414748,5.04261,2.53254,0.7568,2.0541,203.2,1024.658352,23.6,34.9137
4,0.0,25.2,0.0,0.0,0.0,75.9,0.0,0.0,0,0.0,0.0,0.0,-0.461766,-22.9013,-35.3547,0.0,0.0,182.88,-4188.189743999999,0.0,0.0
8,82.6,21.5,11.3,16.1,2.1,20.7,0.286,0.556,1,0.2,1.3,60.9,-0.154063,-7.63861,-4.53512,0.0,3.6667,198.12,-1513.3614132,27.400000000000002,17.417399999999997
25,79.5,14.8,1.7,5.1,12.6,26.8,0.758,0.357,1,0.063,2.9,75.0,-0.562575,-6.70753,-7.40854,0.0,1.92,187.96,-1260.7473388,6.8,56.85
30,97.0,12.3,13.4,15.9,4.3,25.7,0.577,0.506,0,0.0,0.8,32.9,0.174609,-1.71392,-4.14284,0.4,3.1667,208.28,-356.9752576,29.3,18.983299999999996
30,87.3,18.3,9.8,14.6,5.6,18.6,0.4,0.47,3,0.214,1.2,25.0,0.0253092,-3.75691,-5.8647,0.2333,2.6333,203.2,-763.4041119999999,24.4,10.0
29,87.0,15.7,7.6,7.8,10.2,27.6,0.414,0.429,2,0.5,1.6,90.6,-0.0723219,-1.08159,-3.15149,0.069,1.4483,195.58,-211.53737220000002,15.399999999999999,37.508399999999995
20,97.4,18.4,8.8,19.8,1.8,15.5,0.846,0.463,0,0.0,1.0,19.4,0.442741,-4.32949,-2.51523,0.6,3.65,210.82,-912.7430817999999,28.6,16.412399999999998
18,71.3,15.7,0.8,7.9,14.9,33.9,0.615,0.349,8,0.296,2.4,55.7,-1.55244,-7.96242,-7.87313,0.0,4.3333,185.42000000000002,-1476.3919164000001,8.700000000000001,34.2555
16,69.5,22.2,0.0,0.0,0.0,0.0,0.0,0.25,1,0.25,0.0,0.0,-0.0567795,-15.5346,-12.1835,0.0,0.2778,187.96,-2919.883416,0.0,0.0
8,105.3,15.7,10.3,15.0,7.1,13.2,0.0,0.5,0,0.0,1.0,0.0,0.21026,-6.3073,-5.0473,0.0,2.0,205.74,-1297.663902,25.3,0.0
27,84.8,20.2,3.2,10.2,25.0,26.1,0.629,0.375,9,0.36,1.9,24.1,0.0681629,-3.74921,-4.28501,0.1111,5.1481,185.42000000000002,-695.1785182000001,13.399999999999999,15.158900000000001
6,87.0,21.5,0.0,0.0,0.0,0.0,0.5,0.333,0,0.0,7.4,66.7,0.0341702,-3.51817,-6.46672,0.0,0.5,203.2,-714.8921439999999,0.0,33.35
10,80.7,19.5,4.5,22.5,3.5,21.7,0.429,0.714,1,0.125,0.0,46.7,-0.149275,-6.58229,-7.38492,0.2,1.6,187.96,-1237.2072284,27.0,20.0343
31,80.1,14.6,4.4,10.6,18.6,39.9,0.625,0.5,1,0.125,2.8,45.7,-0.86103,-4.91105,-5.94006,0.0645,2.7419,190.5,-935.5550250000001,15.0,28.5625
2,103.0,10.7,0.0,97.4,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0233704,-22.2461,2.85756,0.0,0.5,200.66,-4463.902426,97.4,0.0
31,99.4,20.4,5.5,14.1,10.6,21.5,0.809,0.526,30,0.345,1.0,28.5,1.19885,0.905809,-0.0951459,0.3871,6.7742,205.74,186.36114366,19.6,23.0565
8,0.0,15.0,0.0,16.0,0.0,58.1,0.0,0.0,0,0.0,0.0,0.0,-0.267946,-22.0316,-21.0688,0.0,0.0,187.96,-4141.059536000001,16.0,0.0
15,118.5,23.7,21.1,8.7,7.3,19.4,0.632,0.625,0,0.0,1.5,118.8,0.775088,6.23086,1.62265,0.2,2.1333,208.28,1297.7635208,29.8,75.0816
12,36.6,8.9,4.9,9.8,10.5,14.5,0.0,0.0,0,0.0,0.0,33.3,-0.682703,-9.02438,-12.6998,0.0,0.0,195.58,-1764.9882404000002,14.700000000000001,0.0
5,42.8,10.9,0.0,5.1,0.0,25.1,0.0,0.333,0,0.0,0.0,0.0,-0.778157,-7.82735,-8.26827,0.2,0.4,193.04,-1510.991644,5.1,0.0
2,41.0,23.1,36.6,0.0,0.0,80.2,0.0,0.0,0,0.0,0.0,0.0,-0.235328,-22.7496,-17.401,0.2,1.6,198.12,-4507.1507520000005,36.6,0.0
33,93.1,19.8,3.1,9.8,12.2,17.4,0.635,0.359,45,0.336,2.8,22.0,0.935326,1.92893,1.4352,0.0909,8.6364,190.5,367.461165,12.9,13.97
28,105.6,15.9,6.1,9.3,12.4,20.3,0.8,0.514,9,0.321,3.5,23.1,0.528786,1.67103,0.944381,0.1071,2.75,190.5,318.331215,15.4,18.48
13,48.3,16.4,11.0,12.6,9.5,23.4,0.5,0.143,0,0.0,0.0,37.5,-0.772216,-7.99945,-10.8662,0.0769,0.3846,203.2,-1625.48824,23.6,18.75
31,107.1,16.1,0.2,9.1,9.5,18.0,0.778,0.31,34,0.479,1.1,31.9,1.033,-0.890081,-0.246191,0.125,5.4688,198.12,-176.34284772,9.299999999999999,24.8182
30,84.7,22.7,10.2,22.3,2.9,25.0,0.653,0.41,0,0.0,1.0,61.5,0.143629,-3.80821,-2.95716,0.9333,4.9667,210.82,-802.8468322,32.5,40.1595
28,69.5,19.6,4.0,5.0,13.3,30.2,0.706,0.367,1,0.125,2.0,32.1,-1.05382,-9.96099,-10.8657,0.0357,3.5357,187.96,-1872.2676804000002,9.0,22.6626
32,86.1,21.0,0.8,10.7,26.0,29.1,0.636,0.418,42,0.321,1.0,30.4,0.80373,-3.19396,-3.16967,0.0,8.6562,185.42000000000002,-592.2240632,11.5,19.3344
27,101.6,16.4,4.0,7.3,6.0,13.5,0.621,0.611,42,0.316,2.3,17.2,0.603214,-4.01124,-3.92635,0.0,6.963,193.04,-774.3297696,11.3,10.681199999999999
21,90.0,21.7,1.4,12.1,21.8,31.3,0.5,0.636,2,0.333,3.8,58.8,0.054134,-5.02438,-2.82557,0.0,1.2609,187.96,-944.3824648,13.5,29.4
29,102.4,14.2,0.6,6.5,19.0,24.1,0.909,0.333,27,0.365,1.0,30.0,0.348978,-5.66741,-5.05687,0.0,5.0303,185.42000000000002,-1050.8511622,7.1,27.27
26,79.9,9.1,6.5,6.3,2.7,34.9,0.222,0.588,0,0.0,0.9,52.9,-0.545561,-0.0316763,-2.57258,0.4231,0.8462,210.82,-6.677997565999999,12.8,11.7438
29,110.5,16.5,5.1,13.0,8.4,18.4,0.806,0.559,26,0.388,1.4,32.0,1.95035,-0.0525135,0.844849,0.0345,9.3103,198.12,-10.40397462,18.1,25.792
31,104.4,20.8,9.3,16.5,4.7,15.6,0.711,0.549,5,0.192,1.4,35.2,0.538351,-4.62603,-3.5746,0.2258,4.2581,200.66,-928.2591798,25.8,25.0272
35,106.5,20.7,5.2,13.3,7.9,15.8,0.731,0.461,38,0.427,0.9,29.2,1.32821,0.717898,2.04847,0.1143,6.6857,198.12,142.22995176,18.5,21.3452
5,83.7,22.2,36.5,36.0,15.8,0.0,0.0,0.5,0,0.0,4.5,50.0,-0.00361768,15.128,12.6593,0.4,0.4,203.2,3074.0096,72.5,0.0
5,86.3,21.9,0.0,10.3,0.0,24.8,1.0,0.333,0,0.0,0.0,66.7,0.0199079,-14.7774,-11.9089,0.0,0.8,220.98,-3265.5098519999997,10.3,66.7
26,73.5,13.4,2.6,6.5,6.3,23.5,0.667,0.273,10,0.244,1.3,5.8,-0.597827,-6.91545,-8.70906,0.0385,1.4615,193.04,-1334.9584679999998,9.1,3.8686000000000003
6,101.0,12.9,26.0,22.1,30.2,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.000887189,-1.88518,-5.34393,0.0,0.0,180.34,-339.9733612,48.1,0.0
30,106.8,19.5,6.3,15.1,8.0,18.9,0.667,0.486,20,0.417,1.0,30.0,1.18171,4.29078,5.75107,0.7742,5.1935,208.28,893.6836584,21.4,20.01
21,89.5,15.6,1.9,11.3,8.4,17.2,0.667,0.423,14,0.298,2.5,12.3,-0.0493075,-6.51144,-5.99456,0.1429,3.3333,198.12,-1290.0464928000001,13.200000000000001,8.2041
2,0.0,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.484145,-44.7355,-62.9169,0.0,0.0,172.72,-7726.715560000001,0.0,0.0
30,106.8,22.5,15.8,17.2,6.0,22.3,0.709,0.537,0,0.0,1.9,47.2,2.38969,5.4674,3.29663,1.6333,10.2333,203.2,1110.9756799999998,33.0,33.4648
30,84.1,21.9,1.0,10.0,25.0,32.8,0.611,0.583,13,0.277,1.6,43.4,0.176699,-4.61745,-4.06839,0.0333,3.4333,185.42000000000002,-856.167579,11.0,26.5174
27,98.2,20.1,1.2,8.7,14.6,20.5,0.852,0.374,62,0.388,2.2,20.8,1.5073,-1.22636,-1.17217,0.037,11.3333,180.34,-221.1617624,9.899999999999999,17.7216
25,91.3,26.0,9.6,16.5,8.3,24.9,0.625,0.466,9,0.409,1.0,70.6,1.12412,-2.86365,-2.50745,0.96,9.6,198.12,-567.346338,26.1,44.125
3,57.3,15.3,0.0,7.0,0.0,46.7,0.5,0.5,0,0.0,0.0,100.0,-0.555371,-9.62347,-9.29831,0.3333,1.0,203.2,-1955.4891039999998,7.0,50.0
28,85.3,12.4,9.9,9.2,5.3,25.4,0.714,0.233,3,1.0,1.3,42.4,-0.285662,-5.16221,-5.83131,0.0,1.1786,200.66,-1035.8490586,19.1,30.2736
37,119.1,21.8,4.7,11.3,14.4,15.2,0.8,0.579,77,0.37,2.4,25.5,3.28863,6.68739,6.74922,0.0811,12.7297,195.58,1307.9197362,16.0,20.400000000000002
33,103.0,18.3,9.0,14.6,5.8,18.5,0.681,0.522,0,0.0,1.9,25.4,1.16985,2.04505,0.458022,1.1212,6.7879,205.74,420.748587,23.6,17.2974
23,65.0,14.0,6.6,19.9,6.9,45.9,0.5,0.444,0,0.0,0.7,66.7,-0.31743,-6.98431,-6.66486,0.0435,0.4783,198.12,-1383.7314972,26.5,33.35
11,114.0,23.0,28.8,33.4,7.2,0.0,0.5,0.375,0,0.0,0.0,75.0,0.246017,1.871,1.25263,0.3571,1.2857,210.82,394.44422,62.2,37.5
5,82.8,23.0,4.1,8.2,3.1,4.4,0.714,0.5,3,0.158,1.0,28.0,0.226741,-7.84066,-6.28449,1.125,3.125,210.82,-1652.9679411999998,12.299999999999999,19.991999999999997
24,100.0,8.6,3.8,10.1,7.1,28.0,0.5,0.455,2,0.667,1.4,14.3,0.000700773,2.26177,-0.0133839,0.0833,0.7083,195.58,442.3569766,13.899999999999999,7.15
29,94.6,20.5,3.3,5.9,15.9,16.8,0.581,0.367,15,0.333,1.9,41.3,0.31753,-1.38644,-1.10052,0.0345,2.931,193.04,-267.63837759999996,9.2,23.995299999999997
28,99.5,22.5,7.6,20.9,9.6,14.7,0.655,0.514,19,0.288,1.4,22.4,1.26399,-1.64946,-1.18198,0.5,9.7667,203.2,-335.17027199999995,28.5,14.671999999999999
12,61.0,14.3,8.0,24.2,0.0,46.9,0.333,0.667,0,0.0,0.0,200.0,-0.394462,-4.15732,-4.40154,0.4167,0.5,210.82,-876.4462024000001,32.2,66.60000000000001
23,86.6,20.5,2.7,11.3,7.7,17.6,0.667,0.5,27,0.3,2.9,2.5,0.0605468,-4.74198,-3.6067,0.08,4.96,190.5,-903.34719,14.0,1.6675
31,108.2,21.0,4.4,13.0,9.7,22.6,0.787,0.556,39,0.464,1.8,35.1,1.68981,-0.654947,1.10246,0.1613,8.5484,200.66,-131.42166501999998,17.4,27.623700000000003
20,95.1,16.4,8.6,12.1,4.2,16.3,0.587,0.43,12,0.279,1.2,51.6,0.252465,-1.63347,-3.35318,1.5,7.05,205.74,-336.0701178,20.7,30.289199999999997
